"Нуари, Ален ","Ален Нуари (иногда Алан Нури, фр. Alain Jean Bourdon-Noury; род. 4 ноября 1945, Париж) — французский актёр.
"
Небраска (фильм) ,"«Небраска» (англ. Nebraska) — американский трагикомедийный чёрно-белый фильм режиссёра Александра Пэйна, вышедший на экраны в 2013 году. Брюс Дерн за свою актёрскую работу удостоился многочисленных наград, в числе которых приз за лучшую мужскую роль на 66-м Каннском кинофестивале, премия Национального совета кинокритиков США и номинации на «Оскар», «Золотой глобус» и BAFTA.
"
Манхэттен-Бич (Бруклин) ,"Манхэттен-Бич — жилой район в Бруклине, одном из боро Нью-Йорка. Он ограничен Атлантическим океаном на юге и востоке, на севере граничит с Шипсхед-Бей, и Брайтон-Бич на западе. Традиционно известен как район проживания итальянцев и евреев-ашкеназов, также там проживает множество евреев-сефардов. В последние годы возросло число выходцев из стран бывшего СССР, преимущественно евреев. Названия улиц были позаимствованы из Англии. Улицы расположены в алфавитном порядке от A до P (Amherst, Beaumont, Coleridge, Dover, Exeter, Falmouth и т. д.).
"
Чи Союн ,"Чи Союн (кор. 지소연?, 池笑然?, 21 февраля 1991, Сеул) — корейская футболистка, полузащитник клуба «Челси» и национальной сборной.
"
Жито (танец) ,"Жито — старинный белорусский танец-карагод. Исполнялся весной на Юрья: «ходили по ране (раннее жито), если в нём уже может спрятаться ворона». Собирались всей деревней и друг за другом цепочкой, проходили по полям. Впереди всех парень нёс хлеб, украшенный веточками ели. На каждом поле парень крутился в середине карагода, а вокруг него — карагод, который сопровождался ритуальными песнями:
"
"Батьянов, Михаил Иванович ","Михаил Иванович Батьянов (Ботьянов) (17 октября 1835 (1835-10-17) — 1916, Петроград) — русский генерал от инфантерии (6 декабря 1899), герой Севастопольской обороны и Кавказской войны.
"
Петрушино (Кольчугинский район) ,"Петрушино — деревня в Кольчугинском районе Владимирской области России, входит в состав Есиплевского сельского поселения.
"
"Далин, Юхан ","Ю́хан Хе́льге Дали́н (швед. Johan Helge Dahlin; родился 8 сентября 1986 года в Тролльхеттане) — шведский футбольный вратарь клуба «Мальмё». Был основным вратарём молодёжной (до 21 года) сборной Швеции, вызывался в национальную сборную Швеции.
"
"Карканаке, Илир ","Илир Карканаке (алб. Ilir Karkanaqe, 1953—2012) — албанский шахматист, мастер ФИДЕ.
"
Каменка (нижний приток Алея) ,"Каменка — река в Восточно-Казахстанской области Казахстана и Алтайском крае России. Устье реки находится в 689 км по левому берегу реки Алей. Длина реки составляет 46 км, площадь бассейна 215 км².[2]"
Svampen ,
Орден Вазы ,"Орден Вазы (иногда «Орден Васы»; швед. Vasaorden) — шведский королевский орден гражданских заслуг.
"
Пластиножаберные ,"Пластиножа́берные, или неоселяхии[2][3] (лат. Elasmobranchii syn. Neoselachii[К 1]) — инфракласс[1] хрящевых рыб, объединяющий акул и скатов. В современной кладистике определение этой систематической группы (клады) звучит как «последний общий предок акул и скатов и все его потомки»[4].
"
"Лючия ди Ламмермур (фильм-опера, 1980) ","«Лючи́я ди Ламмерму́р» — фильм-опера режиссёра Олега Биймы, снятый на Украинской студии телевизионных фильмов в 1980 году. Экранизация одноимённой оперы итальянского композитора Гаэтано Доницетти по мотивам романа Вальтера Скотта «Ламмермурская невеста». В главной партии — Евгения Мирошниченко.
"
Чемпионат Югославии по футболу 1996/1997 ,"Первая лига СР Югославии по футболу 1996/1997 (серб. Прва лига СР Југославије у фудбалу 1996/1997) — 5-й сезон чемпионата Югославии по футболу с момента начала распада Югославии. Он начался 9 августа 1996 года и закончился 16 мая 1997 года.
"
"Виринга, Йохан ","Йоханнес Эверт (Йохан) Виринга (нидерл. Johannes Evert ""Johan"" Wieringa; 20 ноября 1943, Гронинген — 19 октября 1973, Вассенаар) — нидерландский футболист, выступал на позиции нападающего. Воспитанник футбольных команд ГРК и «Би Квик 1887». На профессиональном уровне дебютировал в составе амстердамского «Аякса». Выступал также за «Камбюр» из Леувардена, где был одним из лучших бомбардиров, и за «Витесс» из Арнема. Скончался в возрасте 29 лет от сердечной недостаточности.
"
Удар головой (фильм) ,"Удар головой (фр. Coup de tête) — французская кинокомедия 1979 года, снятая режиссёром Жан-Жаком Анно по сценарию Франсиса Вебера. Пятый фильм, в котором присутствует персонаж Франсуа Перрен и первый из двух, в которых его играет не Пьер Ришар (вторым стал «Ягуар»).
"
Аманинатакилебте ,"Аманинатакилебте — царь Куша (Нубия) в 538—519 годах до н. э.
"
Борисовская (Кирилловский район) ,"Борисовская — деревня в Кирилловском районе Вологодской области.
"
Бюсак ,"Бюса́к (фр. Bussac) — коммуна во Франции, находится в регионе Аквитания. Департамент — Дордонь. Входит в состав кантона Брантом. Округ коммуны — Перигё.
"
Трофей Английской футбольной лиги ,"Трофей Английской футбольной лиги  (англ. EFL Trophy), официальное спонсорское название — Трофей Leasing.com (англ. Leasing.com Trophy) — ежегодное соревнование, участниками которого являются 48 клубов из Лиги 1 и Лиги 2, а начиная с сезона 2016/17 — ещё и 16 молодёжных команд (до 21 года) клубов из Премьер-лиги и Чемпионшипа. Является третьим по значимости кубковым турниром в Англии после Кубка Англии и Кубка Английской футбольной лиги.
"
"Лапский, Остап Васильевич ","Оста́п Васи́льевич Ла́пский (1926—2012) — украинский языковед-просветитель, преподаватель кафедры украинской филологии Варшавского университета, единственный из зарубежных украиноязычных авторов лауреат Национальной премии имени Тараса Шевченко. Печатался в журнале «Наше слово» (Польша), изданиях Украины, в газете «Берестейский край». Его произведения вошли в онтологию Берестейщины «До тебе світе».
"
"Савелич, Эстебан ","Эстебан Ариэль Савелич (черногор. Стефан Аријел Савељић исп. Esteban Ariel Saveljić; родился 20 мая 1991 года в городе Тандил, Аргентина) — аргентинский и черногорский футболист, защитник клуба «Райо Вальекано» и сборной Черногории.
"
